hour,day_of_week,month,temperature,rain,snow,clouds,vehicle_count,vehicle_speed,congestion_percent,congestion_level
2,0,11,8.815945368676198,0.0,0.0,0.7346097299124823,995,62.36968965397341,9.942741663221145,low
18,5,9,17.23309502838766,0.4889433443097887,0.0,0.723268502289646,2611,8.857129038978755,100.0,heavy
15,1,3,16.046115486887476,0.0,0.0,0.7197108833018354,1354,39.024085928284,57.62144536428495,moderate
10,4,12,18.637674351770634,0.0,0.0,0.5886754457920649,2098,30.999291007917193,83.68508906633804,heavy
10,3,12,26.399070235148898,0.0,0.0,0.12015520470682184,2907,21.3103228294787,94.0835148305387,heavy
20,1,1,28.328283058143455,0.0,0.42775712702105106,0.9303586117958952,289,54.340549275809124,61.73815780038106,heavy
2,3,1,15.945523797873582,0.0,0.0,0.982971258425421,544,62.16622657514671,16.0074871506728,low
16,0,3,17.68266762163403,0.0,0.0,0.892315717781548,900,51.279127757898344,45.80748256715183,moderate
4,4,10,32.66808183551018,0.0,0.0,0.9165253350067966,1572,43.88998082553189,43.33836905069747,moderate
2,2,8,37.64234455021194,0.0,0.0,0.8658227421171134,1988,41.80269344925058,48.00906120632549,moderate
12,2,7,34.04733486864302,0.219577845135493,0.0,0.2307187220811835,1644,42.65895410709459,53.08941780464951,moderate
23,1,5,10.829351044686703,0.0,0.0,0.16304728966288384,746,56.48398779934633,20.909787456653284,low
17,2,6,33.51525713912012,0.0,0.0,0.0993317192525135,2202,35.55456071016488,79.62340573019605,heavy
18,2,8,38.829510852114694,0.4615109365765162,0.0,0.09142055704772256,1891,30.33973824880136,100.0,heavy
17,1,1,10.43240570073079,0.8128372285390602,0.0,0.7490309073023963,1570,23.907489605283697,100.0,heavy
18,6,8,32.66160445469683,0.4534501006600604,0.0,0.3025694213872987,1285,32.148403980065176,74.66877290457413,heavy
12,1,3,25.801732920556365,0.0,0.0,0.3291527980190473,1746,39.574044433403174,53.31570813574955,moderate
3,1,10,21.382898323217365,0.0,0.818392581688408,0.754431724486378,1518,48.54718072330942,50.86936461754303,moderate
